model,generated_summary,latency_seconds,status,word_count,reference_summary
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• The Palestinian Authority has become the 123rd member of the International Criminal Court (ICC), giving the court jurisdiction over alleged crimes in Palestinian territories, including East Jerusalem, since June 2014.
• The move is seen as a significant step towards greater justice, but has been met with opposition from Israel and the US, which do not recognize Palestine as a sovereign state and have urged the warring sides to resolve their differences through direct negotiations.
• The ICC has already begun a preliminary examination into the situation in Palestinian territories, which could lead to potential war crimes investigations against Israelis, and human rights groups have welcomed the development, calling for an end to attempts to undermine international justice.",141.15,success,127,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• A stray dog named Theia, a 1-year-old bully breed mix, has made a miraculous recovery after surviving multiple near-fatal incidents, including being hit by a car, beaten with a hammer, and buried in a field, before stumbling into a farm and being rescued.
• Despite suffering severe injuries, including a dislocated jaw, leg injuries, and a caved-in sinus cavity, Theia is receiving medical treatment at a university hospital and has already received significant financial support from donors, which has helped cover some of the costs.
• Theia's owner, Sara Mellado, has set up a fundraising page to continue supporting the dog's medical expenses and has already exceeded her initial goal of $10,000, with all excess funds going towards helping other animals in need.",122.22,success,132,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article about Mohammad Javad Zarif:

• Mohammad Javad Zarif, the Iranian foreign minister, has been instrumental in negotiating a potential deal with the US to ease sanctions on Iran, but few people know much about his personal life, including his age, birthdate, and early years. His exact birthdate is disputed between 1959, 1960, and 1961.

• Zarif has a complex past, having been involved in student protests during the Iranian Revolution in the late 1970s and later working for the Iranian government, although he claims to have been abroad during those events. He also faced allegations of involvement in a secret Iranian front group accused of laundering money for the Iranian government.

• Despite these controversies, Zarif has developed close ties with US Secretary of State John Kerry, spending more time with him than any other foreign minister, and has become known for his jovial demeanor, earning him a hero's welcome in Iran upon his return.",193.94,success,163,"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Five American healthcare workers from Partners in Health, who were exposed to Ebola while working in West Africa, have been released from a Nebraska hospital after being monitored for three weeks.
• One of the individuals had a minor medical issue and remains hospitalized, while the other four have returned home; one of their colleagues who contracted Ebola is currently in stable condition at the NIH in Maryland.
• All five were exposed to Ebola through contact with a colleague who was diagnosed with the disease, and the CDC expects the remaining 12 patients to be released by Thursday, marking a significant milestone in the ongoing Ebola outbreak in West Africa.",77.1,success,120,"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• A Duke University student has admitted to hanging a noose made of rope from a tree near a student union, prompting a university-wide response and condemnation from administrators and students.
• The student, whose identity has been kept confidential due to federal privacy laws, is no longer on campus and faces student conduct review, while criminal investigations are ongoing to determine if others were involved in the incident.
• The incident is part of a larger trend of racist incidents affecting college campuses, including a recent case at the University of Oklahoma where a fraternity had its charter revoked and two students expelled, and a similar incident at the University of Mississippi where a noose was hung around a statue of a civil rights figure.",93.96,success,134,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Trey Moses, a star basketball player at Eastern High School in Kentucky, surprised everyone by asking his friend Ellie Meredith, a freshman with Down syndrome, to be his prom date, rather than his original girlfriend.
• The prom-posal was a thoughtful gesture that included flowers, a poster referencing Ellie's favorite singer, and permission from her parents, which was facilitated by a special program at the school called Best Buddies that helps students with developmental disabilities connect with their peers.
• The unexpected ask has brought attention to the importance of inclusion and acceptance, with both Trey's coaches and family members praising the move, and Ellie's mother noting that the experience has helped her daughter feel more confident and connected socially.",101.76,success,129,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Governments around the world are using the threat of terrorism to justify the use of the death penalty, according to Amnesty International's annual report on the death penalty, which found that the number of executions decreased by 22% in 2014, but the number of people sentenced to death increased by 28%.

• Despite the decline in executions, the report highlights concerns about the fairness of judicial processes leading to death sentences, citing examples of flawed trials in countries such as Afghanistan, Bangladesh, China, Egypt, Iran, Iraq, North Korea, Pakistan, Saudi Arabia, and Sri Lanka.

• The report notes that while there are positive trends towards abolition, particularly in sub-Saharan Africa and the Middle East and North Africa, the US remains one of the worst offenders for imposing capital punishment, with thousands of estimated executions per year, and the UN Secretary-General has called for continued efforts to abolish the death penalty due to its irreversibility and incompatibility with human rights.",164.62,success,168,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Andrew Getty, a 47-year-old heir to the Getty oil fortune, has died under mysterious circumstances, with the Los Angeles Police Department ruling out foul play and indicating that his death was due to natural causes.
• An autopsy will be conducted to determine the exact cause of death, but police have found evidence of medication at the scene, although it's unclear if Getty was taking it or if he had any underlying medical conditions.
• Getty's death comes after a recent court filing by his brother Gordon Getty, who has a net worth of $2.1 billion, in which Andrew Getty sought a restraining order against an ex-girlfriend citing a serious medical condition that made him vulnerable to violent outbursts.",91.08,success,128,"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Tropical Storm Chedeng (formerly known as Super Typhoon Maysak) is approaching the Philippines, bringing strong winds of over 70mph and gusts up to 90mph, prompting authorities to take precautions and evacuate some areas.
• The storm is expected to make landfall on the southeastern coast of Isabela province on Sunday morning, although its impact is uncertain and officials are warning residents to prepare for a potentially severe storm.
• Authorities have barred outdoor activities in some areas, cancelled tourist bookings, and ordered evacuations ahead of the storm, with Governor Faustino Dry III advising residents to treat the storm as an ""ordinary typhoon"" due to the uncertainty of its impact.",81.85,success,118,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• For the first time in eight years, Bob Barker returned as host of ""The Price Is Right"", replacing Drew Carey for a special April 1 episode.
• At 91 years old, Barker showed no signs of slowing down and handled the first price-guessing game, ""Lucky Seven"", with ease.
• After completing his hosting duties, Barker handed over to Carey, allowing him to finish out the show, marking Barker's return to the iconic role after an eight-year absence.",45.07,success,86,"Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• A 19-year-old British man, Yahya Rashid, has been charged with terror offenses after being arrested upon his return to London from Turkey.
• The charges include engaging in conduct in preparation of acts of terrorism and assisting others to commit such acts, both related to the period between November 1 and March 31.
• Rashid is set to appear in court on Wednesday to face the charges, which were made by the Metropolitan Police.",42.64,success,83,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November ."
meta-llama/Llama-3.2-3B-Instruct,"Here are three bullet points summarizing the article:

• Paul Walker's death in a car crash in 2013 was a shock to fans and colleagues alike, and the release of ""Furious 7"" provides an opportunity for fans to remember and honor his memory through the film's emotional tribute to him.

• Despite initial plans to write out his character, the film's producers decided to use special effects and have Walker's brothers serve as body doubles to complete some scenes, allowing his legacy to live on in the movie.

• Tributes to Walker have poured in from fans and fellow actors, including a heartfelt speech by co-star Vin Diesel at the film's premiere, and social media has been filled with messages of appreciation and admiration for the late actor, who was remembered as kind, humble, and compassionate.",122.04,success,136,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday ."
